log_id,window_start,active_cases,new_arrivals,completions,total_events,mean_delta_t,std_delta_t,stalled_cases,res_events_total,res_events_max,res_events_std,res_active_total,res_n_busy,res_duration_mean,res_wait_mean,res_handover_total,res_handover_unique,intra_S0,intra_S1,intra_S2,intra_S3,intra_S4,intra_S5,intra_S6,intra_S7,intra_S8,drift_control_flow,drift_data,drift_inter_case,drift_resource,drift_any
training_025,2020-01-01 00:42:36.793898+00:00,13.0,13.0,13.0,78.0,1.9980194064299983,0.863402161698213,0.0,78,14,4.142463035441596,57,10.0,21.32661956997965,3.062046590079208,57.0,33.0,0.16666666666666666,0.0,0.15384615384615385,0.16666666666666666,0.15384615384615385,0.01282051282051282,0.16666666666666666,0.01282051282051282,0.16666666666666666,0,0,0,0,0
training_025,2020-01-01 12:42:36.793898+00:00,3.0,3.0,2.0,17.0,2.9499473415541706,0.6617962708067479,0.0,17,6,1.8466185312619388,14,6.0,9.55627802388889,1.680643935976835,13.0,10.0,0.11764705882352941,0.0,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.17647058823529413,0,0,0,0,0
training_025,2020-01-02 00:42:36.793898+00:00,6.0,5.0,5.0,30.0,2.330914443022589,1.0864067512045619,0.0,30,6,1.8973665961010275,27,9.0,18.23811781361111,2.758244926865856,24.0,16.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0,0,0,0,0
training_025,2020-01-02 12:42:36.793898+00:00,16.0,15.0,13.0,82.0,1.9562548963027737,0.8420205895381486,0.0,82,23,5.67097875150313,65,10.0,20.118058742397654,3.0558585067143884,56.0,35.0,0.15853658536585366,0.0,0.17073170731707318,0.14634146341463414,0.14634146341463414,0.024390243902439025,0.12195121951219512,0.036585365853658534,0.1951219512195122,0,0,0,0,0
training_025,2020-01-03 00:42:36.793898+00:00,14.0,11.0,12.0,67.0,2.151557995303029,0.7795243832598094,0.0,67,14,3.4073450074801643,57,10.0,20.33637154017761,3.0639804067698306,50.0,37.0,0.1791044776119403,0.0,0.16417910447761194,0.16417910447761194,0.14925373134328357,0.0,0.16417910447761194,0.014925373134328358,0.16417910447761194,0,0,0,0,0
training_025,2020-01-03 12:42:36.793898+00:00,11.0,9.0,11.0,62.0,2.1388541622055586,0.8560118945817883,0.0,62,12,3.893584466786357,52,10.0,19.021592423579726,3.0248436491514346,49.0,32.0,0.1774193548387097,0.0,0.14516129032258066,0.1774193548387097,0.1774193548387097,0.0,0.1774193548387097,0.0,0.14516129032258066,0,0,0,0,0
training_025,2020-01-04 00:42:36.793898+00:00,13.0,13.0,12.0,76.0,1.8345305526634013,0.787099884846368,0.0,76,14,4.103656905736638,67,10.0,19.792832935203826,3.027460044443571,61.0,38.0,0.15789473684210525,0.0,0.17105263157894737,0.17105263157894737,0.15789473684210525,0.0,0.15789473684210525,0.013157894736842105,0.17105263157894737,0,0,0,0,0
training_025,2020-01-04 12:42:36.793898+00:00,15.0,14.0,14.0,81.0,1.9179709642633374,0.7770051832204289,0.0,81,14,3.5341194094144583,69,10.0,18.08007238531253,2.816419474453818,58.0,37.0,0.1728395061728395,0.0,0.14814814814814814,0.16049382716049382,0.14814814814814814,0.012345679012345678,0.16049382716049382,0.024691358024691357,0.1728395061728395,0,0,0,0,0
training_025,2020-01-05 00:42:36.793898+00:00,7.0,6.0,5.0,36.0,2.6129113946764866,0.9130779312607373,0.0,36,9,2.6907248094147422,31,10.0,19.306953873941797,3.0589272712802775,28.0,21.0,0.1388888888888889,0.0,0.19444444444444445,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0,0,0,0,0
training_025,2020-01-05 12:42:36.793898+00:00,13.0,11.0,12.0,67.0,2.02477964019177,0.9599097214078226,0.0,67,12,4.428317965096906,56,10.0,21.882619190416666,3.1448285412032324,52.0,32.0,0.1791044776119403,0.0,0.16417910447761194,0.16417910447761194,0.16417910447761194,0.0,0.16417910447761194,0.0,0.16417910447761194,0,0,0,0,0
